"Gateway URL","Gateway URL"
"Merchant ID","Merchant ID"
"API Username","API Username"
"API Password","API Password"
"API Key","API Key"
"3D Secure","3D Secure"
"3D-Secure Payment Transaction","3D-Secure Payment Transaction"
"You will be redirected to the bank website in a few seconds.","You will be redirected to the bank website in a few seconds."
"JavaScript is currently disabled or is not supported by your browser. Please click Submit to continue the processing of your 3D-Secure Payment transaction.","JavaScript is currently disabled or is not supported by your browser. Please click Submit to continue the processing of your 3D-Secure Payment transaction."
"Submit","Submit"
"Payment Successful! Credit Card account has been charged with the amount of the transaction.","Payment Successful! Credit Card account has been charged with the amount of the transaction."
"Payment Approved!","Payment Approved!"
"Payment declined! Transaction has been declined.","Payment declined! Transaction has been declined."
"Payment error! The transaction has NOT been accepted by the Gateway and thus No processing has taken place.","Payment error! The transaction has NOT been accepted by the Gateway and thus No processing has taken place."